country,hours_bucket,installs,country_total_installs,share_within_country
ie,3,1,138,0.72%
ie,4,1,138,0.72%
ie,5,1,138,0.72%
ie,10,1,138,0.72%
ie,16,1,138,0.72%
ie,23,1,138,0.72%
il,1,29,414,7.00%
il,2,13,414,3.14%
il,3,6,414,1.45%
il,4,4,414,0.97%
il,5,4,414,0.97%
il,6,1,414,0.24%
il,7,6,414,1.45%
il,8,1,414,0.24%
il,9,1,414,0.24%
il,10,1,414,0.24%
il,13,2,414,0.48%
il,18,1,414,0.24%
il,22,1,414,0.24%
il,28,1,414,0.24%
il,31,1,414,0.24%
il,38,1,414,0.24%
il,39,1,414,0.24%
il,40,1,414,0.24%
il,43,1,414,0.24%
il,0,338,414,81.64%
im,0,2,2,100.00%
in,1,275,3916,7.02%
in,2,97,3916,2.48%
in,3,78,3916,1.99%
in,4,38,3916,0.97%
in,5,37,3916,0.94%
in,6,22,3916,0.56%
in,7,18,3916,0.46%
in,8,15,3916,0.38%
in,9,11,3916,0.28%
in,10,11,3916,0.28%
in,11,14,3916,0.36%
in,12,11,3916,0.28%
in,13,10,3916,0.26%
in,14,14,3916,0.36%
in,15,6,3916,0.15%
in,16,8,3916,0.20%
in,17,4,3916,0.10%
in,18,3,3916,0.08%
in,19,6,3916,0.15%
in,20,3,3916,0.08%
in,21,5,3916,0.13%
in,22,13,3916,0.33%
in,23,4,3916,0.10%
in,24,1,3916,0.03%
in,25,3,3916,0.08%
in,27,3,3916,0.08%
in,28,4,3916,0.10%
in,29,4,3916,0.10%
in,30,4,3916,0.10%
in,31,5,3916,0.13%
in,32,4,3916,0.10%
in,34,6,3916,0.15%
in,36,1,3916,0.03%
in,37,1,3916,0.03%
in,39,1,3916,0.03%
in,41,1,3916,0.03%
in,42,1,3916,0.03%
in,43,2,3916,0.05%
in,46,4,3916,0.10%
in,0,3150,3916,80.44%
iq,1,50,528,9.47%
iq,2,18,528,3.41%
iq,3,7,528,1.33%
iq,4,5,528,0.95%
iq,5,1,528,0.19%
iq,6,5,528,0.95%
iq,7,2,528,0.38%
iq,8,2,528,0.38%
iq,9,2,528,0.38%
iq,10,2,528,0.38%
iq,11,1,528,0.19%
iq,13,2,528,0.38%
iq,15,1,528,0.19%
iq,16,1,528,0.19%
iq,17,1,528,0.19%
iq,24,1,528,0.19%
iq,26,1,528,0.19%
iq,37,1,528,0.19%
iq,38,1,528,0.19%
iq,40,2,528,0.38%
iq,0,419,528,79.36%
ir,1,2,35,5.71%
ir,2,1,35,2.86%
ir,3,2,35,5.71%
ir,7,2,35,5.71%
ir,13,1,35,2.86%
ir,25,1,35,2.86%
ir,32,1,35,2.86%
ir,37,1,35,2.86%
ir,44,1,35,2.86%
ir,0,22,35,62.86%
is,0,18,19,94.74%
is,4,1,19,5.26%
it,0,1305,1549,84.25%
it,1,92,1549,5.94%
it,2,33,1549,2.13%
it,3,28,1549,1.81%
it,4,16,1549,1.03%
it,5,13,1549,0.84%
it,6,8,1549,0.52%
it,7,8,1549,0.52%
it,8,3,1549,0.19%
it,9,6,1549,0.39%
it,10,5,1549,0.32%
it,11,1,1549,0.06%
it,12,2,1549,0.13%
it,13,3,1549,0.19%
it,14,1,1549,0.06%
it,15,2,1549,0.13%
it,16,2,1549,0.13%
it,17,1,1549,0.06%
it,18,1,1549,0.06%
it,19,1,1549,0.06%
it,21,1,1549,0.06%
it,24,2,1549,0.13%
it,26,1,1549,0.06%
it,28,1,1549,0.06%
it,30,1,1549,0.06%
it,32,1,1549,0.06%
it,36,2,1549,0.13%
it,37,3,1549,0.19%
it,39,1,1549,0.06%
it,40,1,1549,0.06%
it,46,1,1549,0.06%
je,1,1,7,14.29%
je,8,1,7,14.29%
je,10,1,7,14.29%
je,0,4,7,57.14%
jm,1,7,79,8.86%
jm,3,5,79,6.33%
jm,12,1,79,1.27%
jm,15,1,79,1.27%
jm,26,1,79,1.27%
jm,42,1,79,1.27%
jm,0,63,79,79.75%
jo,0,357,407,87.71%
jo,1,23,407,5.65%
jo,2,10,407,2.46%
jo,3,3,407,0.74%
jo,4,7,407,1.72%
jo,5,4,407,0.98%
jo,18,1,407,0.25%
jo,28,1,407,0.25%
jo,40,1,407,0.25%
jp,1,316,3574,8.84%
jp,2,153,3574,4.28%
jp,3,81,3574,2.27%
jp,4,59,3574,1.65%
jp,5,29,3574,0.81%
jp,6,36,3574,1.01%
jp,7,26,3574,0.73%
jp,8,21,3574,0.59%
jp,9,17,3574,0.48%
jp,10,12,3574,0.34%
jp,11,15,3574,0.42%
jp,12,10,3574,0.28%
jp,13,11,3574,0.31%
jp,14,13,3574,0.36%
jp,15,8,3574,0.22%
jp,16,7,3574,0.20%
jp,17,6,3574,0.17%
jp,18,6,3574,0.17%
jp,19,4,3574,0.11%
jp,20,11,3574,0.31%
jp,21,3,3574,0.08%
jp,22,5,3574,0.14%
jp,23,1,3574,0.03%
jp,24,3,3574,0.08%
jp,25,3,3574,0.08%
jp,26,5,3574,0.14%
jp,27,4,3574,0.11%
jp,28,3,3574,0.08%
jp,29,6,3574,0.17%
jp,31,4,3574,0.11%
jp,32,3,3574,0.08%
jp,33,1,3574,0.03%
jp,34,1,3574,0.03%
jp,35,2,3574,0.06%
jp,36,1,3574,0.03%
jp,37,2,3574,0.06%
jp,39,3,3574,0.08%
jp,41,2,3574,0.06%
jp,42,2,3574,0.06%
jp,45,3,3574,0.08%
jp,0,2674,3574,74.82%
ke,1,1,37,2.70%
ke,2,3,37,8.11%
ke,3,2,37,5.41%
ke,4,1,37,2.70%
ke,14,1,37,2.70%
ke,0,29,37,78.38%
kg,0,79,90,87.78%
kg,1,6,90,6.67%
kg,3,3,90,3.33%
kg,4,1,90,1.11%
kg,8,1,90,1.11%
kh,1,31,371,8.36%
kh,2,18,371,4.85%
kh,3,2,371,0.54%
kh,4,3,371,0.81%
kh,6,4,371,1.08%
kh,7,2,371,0.54%
kh,8,3,371,0.81%
kh,10,4,371,1.08%
kh,11,1,371,0.27%
kh,13,1,371,0.27%
kh,16,1,371,0.27%
kh,17,1,371,0.27%
kh,19,3,371,0.81%
kh,22,1,371,0.27%
kh,28,2,371,0.54%
kh,37,2,371,0.54%
kh,0,291,371,78.44%
kn,0,3,3,100.00%
kr,0,6836,7834,87.26%
kr,1,418,7834,5.34%
kr,2,173,7834,2.21%
kr,3,91,7834,1.16%
kr,4,69,7834,0.88%
kr,5,41,7834,0.52%
kr,6,31,7834,0.40%
kr,7,27,7834,0.34%
kr,8,25,7834,0.32%
kr,9,17,7834,0.22%
kr,10,19,7834,0.24%
kr,11,12,7834,0.15%
kr,12,6,7834,0.08%
kr,13,8,7834,0.10%
kr,14,12,7834,0.15%
kr,15,4,7834,0.05%
kr,16,3,7834,0.04%
kr,17,6,7834,0.08%
kr,18,6,7834,0.08%
kr,19,1,7834,0.01%
kr,20,6,7834,0.08%
kr,21,1,7834,0.01%
kr,22,2,7834,0.03%
kr,23,1,7834,0.01%
kr,24,1,7834,0.01%
kr,25,1,7834,0.01%
kr,26,1,7834,0.01%
kr,27,2,7834,0.03%
kr,28,1,7834,0.01%
kr,29,1,7834,0.01%
kr,30,2,7834,0.03%
kr,31,1,7834,0.01%
kr,32,1,7834,0.01%
kr,34,2,7834,0.03%
kr,38,1,7834,0.01%
kr,39,1,7834,0.01%
kr,40,1,7834,0.01%
kr,43,1,7834,0.01%
kw,1,13,167,7.78%
kw,2,4,167,2.40%
kw,3,5,167,2.99%
kw,4,4,167,2.40%
kw,5,2,167,1.20%
kw,6,2,167,1.20%
kw,7,1,167,0.60%
kw,8,2,167,1.20%
kw,9,1,167,0.60%
kw,11,3,167,1.80%
kw,12,1,167,0.60%
kw,17,1,167,0.60%
kw,0,128,167,76.65%
ky,2,1,9,11.11%
ky,3,1,9,11.11%
ky,5,1,9,11.11%
ky,11,1,9,11.11%
ky,0,5,9,55.56%
kz,1,5,130,3.85%
kz,2,4,130,3.08%
kz,4,2,130,1.54%
kz,5,1,130,0.77%
kz,6,2,130,1.54%
kz,7,1,130,0.77%
kz,9,2,130,1.54%
kz,10,2,130,1.54%
kz,12,2,130,1.54%
kz,14,1,130,0.77%
kz,21,1,130,0.77%
kz,24,1,130,0.77%
kz,26,1,130,0.77%
kz,27,1,130,0.77%
kz,35,1,130,0.77%
kz,37,1,130,0.77%
kz,38,2,130,1.54%
kz,0,96,130,73.85%
la,0,140,161,86.96%
la,1,7,161,4.35%
la,2,4,161,2.48%
la,3,2,161,1.24%
la,4,1,161,0.62%
la,6,2,161,1.24%
la,7,1,161,0.62%
la,8,1,161,0.62%
la,12,1,161,0.62%
la,14,1,161,0.62%
la,22,1,161,0.62%
lb,1,30,317,9.46%
lb,2,11,317,3.47%
lb,3,6,317,1.89%
lb,4,2,317,0.63%
lb,5,1,317,0.32%
lb,6,4,317,1.26%
lb,7,1,317,0.32%
lb,8,1,317,0.32%
lb,18,1,317,0.32%
lb,21,1,317,0.32%
lb,22,1,317,0.32%
lb,31,1,317,0.32%
lb,36,1,317,0.32%
lb,38,1,317,0.32%
lb,40,1,317,0.32%
lb,0,254,317,80.13%
lc,0,6,7,85.71%
lc,18,1,7,14.29%
lk,0,172,209,82.30%
lk,1,12,209,5.74%
lk,2,6,209,2.87%
lk,3,5,209,2.39%
lk,4,3,209,1.44%
lk,6,3,209,1.44%
lk,8,1,209,0.48%
lk,11,2,209,0.96%
lk,13,1,209,0.48%
lk,14,1,209,0.48%
lk,15,1,209,0.48%
lk,16,1,209,0.48%
lk,34,1,209,0.48%
lr,0,2,2,100.00%
lt,0,341,391,87.21%
lt,1,25,391,6.39%
lt,2,5,391,1.28%
lt,3,2,391,0.51%
lt,4,2,391,0.51%
lt,5,2,391,0.51%
lt,6,2,391,0.51%
lt,11,2,391,0.51%
lt,12,1,391,0.26%
lt,14,3,391,0.77%
lt,17,1,391,0.26%
lt,19,1,391,0.26%
lt,22,1,391,0.26%
lt,24,1,391,0.26%
lt,43,1,391,0.26%
lu,1,5,46,10.87%
lu,2,2,46,4.35%
lu,4,1,46,2.17%
lu,9,1,46,2.17%
lu,10,1,46,2.17%
lu,25,1,46,2.17%
lu,0,35,46,76.09%
lv,0,146,161,90.68%
lv,1,3,161,1.86%
lv,2,2,161,1.24%
lv,3,1,161,0.62%
lv,4,3,161,1.86%
lv,6,1,161,0.62%
lv,7,1,161,0.62%
lv,8,1,161,0.62%
lv,12,1,161,0.62%
lv,14,1,161,0.62%
ly,1,7,45,15.56%
ly,2,2,45,4.44%
ly,5,2,45,4.44%
ly,7,2,45,4.44%
ly,9,1,45,2.22%
ly,11,1,45,2.22%
ly,15,1,45,2.22%
ly,26,1,45,2.22%
ly,0,28,45,62.22%
ma,0,197,233,84.55%
ma,1,16,233,6.87%
ma,2,2,233,0.86%
ma,3,4,233,1.72%
ma,4,5,233,2.15%
ma,6,3,233,1.29%
ma,8,1,233,0.43%
ma,10,1,233,0.43%
ma,12,1,233,0.43%
ma,13,2,233,0.86%
ma,22,1,233,0.43%
md,0,136,157,86.62%
md,1,6,157,3.82%
md,2,3,157,1.91%
md,3,1,157,0.64%
md,4,1,157,0.64%
md,5,1,157,0.64%
md,6,1,157,0.64%
md,7,2,157,1.27%
md,8,1,157,0.64%
md,18,1,157,0.64%
md,22,1,157,0.64%
md,33,1,157,0.64%
md,34,1,157,0.64%
md,38,1,157,0.64%
me,1,2,34,5.88%
me,2,3,34,8.82%
me,3,1,34,2.94%
me,5,1,34,2.94%
me,10,1,34,2.94%
me,21,1,34,2.94%
me,0,25,34,73.53%
mf,2,1,2,50.00%
mf,0,1,2,50.00%
mg,1,2,17,11.76%
mg,4,2,17,11.76%
mg,8,2,17,11.76%
mg,11,1,17,5.88%
mg,29,1,17,5.88%
mg,0,9,17,52.94%
mk,0,100,110,90.91%
mk,1,4,110,3.64%
mk,3,2,110,1.82%
mk,4,1,110,0.91%
mk,19,1,110,0.91%
mk,36,1,110,0.91%
mk,40,1,110,0.91%
ml,5,1,3,33.33%
ml,0,2,3,66.67%
mm,1,37,406,9.11%
mm,2,21,406,5.17%
mm,3,13,406,3.20%
mm,4,7,406,1.72%
mm,5,2,406,0.49%
mm,6,3,406,0.74%
mm,7,4,406,0.99%
mm,8,2,406,0.49%
mm,10,2,406,0.49%
mm,11,4,406,0.99%
mm,12,1,406,0.25%
mm,13,1,406,0.25%
mm,14,3,406,0.74%
mm,16,2,406,0.49%
mm,17,4,406,0.99%
mm,20,1,406,0.25%
mm,23,2,406,0.49%
mm,24,1,406,0.25%
mm,33,1,406,0.25%
mm,35,1,406,0.25%
mm,37,2,406,0.49%
mm,38,1,406,0.25%
mm,0,290,406,71.43%
mn,1,17,171,9.94%
mn,2,7,171,4.09%
mn,3,4,171,2.34%
mn,4,2,171,1.17%
mn,6,4,171,2.34%
mn,7,1,171,0.58%
mn,8,1,171,0.58%
mn,10,1,171,0.58%
mn,13,1,171,0.58%
mn,16,1,171,0.58%
mn,20,2,171,1.17%
mn,21,1,171,0.58%
mn,24,1,171,0.58%
mn,0,128,171,74.85%
mo,1,5,69,7.25%
mo,2,3,69,4.35%
mo,4,2,69,2.90%
mo,5,1,69,1.45%
mo,6,1,69,1.45%
mo,8,1,69,1.45%
mo,10,2,69,2.90%
mo,13,1,69,1.45%
mo,21,1,69,1.45%
mo,34,1,69,1.45%
mo,0,51,69,73.91%
mp,0,11,12,91.67%
mp,15,1,12,8.33%
mq,0,11,13,84.62%
mq,1,1,13,7.69%
mq,3,1,13,7.69%
mr,1,1,3,33.33%
mr,0,2,3,66.67%
mt,0,41,47,87.23%
mt,1,2,47,4.26%
mt,3,1,47,2.13%
mt,4,2,47,4.26%
mt,6,1,47,2.13%
mu,0,98,125,78.40%
mu,1,11,125,8.80%
mu,2,5,125,4.00%
mu,3,3,125,2.40%
mu,5,1,125,0.80%
mu,6,1,125,0.80%
mu,7,2,125,1.60%
mu,9,1,125,0.80%
mu,13,1,125,0.80%
mu,44,1,125,0.80%
mv,1,1,21,4.76%
mv,2,1,21,4.76%
mv,3,1,21,4.76%
mv,5,1,21,4.76%
mv,35,1,21,4.76%
mv,0,16,21,76.19%
mw,1,1,3,33.33%
mw,0,2,3,66.67%
mx,0,2983,3612,82.59%
mx,1,228,3612,6.31%
mx,2,84,3612,2.33%
mx,3,50,3612,1.38%
mx,4,48,3612,1.33%
mx,5,26,3612,0.72%
mx,6,10,3612,0.28%
mx,7,11,3612,0.30%
mx,8,22,3612,0.61%
mx,9,12,3612,0.33%
mx,10,18,3612,0.50%
mx,11,10,3612,0.28%
mx,12,10,3612,0.28%
mx,13,7,3612,0.19%
mx,14,9,3612,0.25%
mx,15,2,3612,0.06%
mx,16,4,3612,0.11%
mx,17,5,3612,0.14%
mx,18,3,3612,0.08%
mx,19,1,3612,0.03%
mx,20,4,3612,0.11%
mx,21,5,3612,0.14%
mx,22,7,3612,0.19%
mx,23,2,3612,0.06%
mx,24,2,3612,0.06%
mx,25,4,3612,0.11%
mx,26,3,3612,0.08%
mx,28,2,3612,0.06%
mx,29,2,3612,0.06%
mx,30,3,3612,0.08%
mx,31,2,3612,0.06%
mx,32,2,3612,0.06%
mx,33,2,3612,0.06%
mx,34,3,3612,0.08%
mx,36,2,3612,0.06%
mx,37,1,3612,0.03%
mx,38,1,3612,0.03%
mx,39,3,3612,0.08%
mx,40,3,3612,0.08%
mx,41,1,3612,0.03%
mx,43,1,3612,0.03%
mx,44,1,3612,0.03%
mx,45,1,3612,0.03%
mx,46,1,3612,0.03%
mx,47,2,3612,0.06%
my,0,1307,1597,81.84%
my,1,94,1597,5.89%
my,2,46,1597,2.88%
my,3,30,1597,1.88%
my,4,21,1597,1.31%
my,5,14,1597,0.88%
my,6,11,1597,0.69%
my,7,9,1597,0.56%
my,8,7,1597,0.44%
my,9,8,1597,0.50%
my,10,4,1597,0.25%
my,11,3,1597,0.19%
my,12,4,1597,0.25%
my,13,4,1597,0.25%
my,14,3,1597,0.19%
my,15,2,1597,0.13%
my,16,2,1597,0.13%
my,17,2,1597,0.13%
my,18,1,1597,0.06%
my,20,2,1597,0.13%
my,22,3,1597,0.19%
my,24,2,1597,0.13%
my,25,2,1597,0.13%
my,26,3,1597,0.19%
my,27,3,1597,0.19%
my,29,1,1597,0.06%
my,30,1,1597,0.06%
my,32,1,1597,0.06%
my,33,2,1597,0.13%
my,35,1,1597,0.06%
my,39,1,1597,0.06%
my,41,1,1597,0.06%
mz,2,1,6,16.67%
mz,6,1,6,16.67%
mz,0,4,6,66.67%
na,0,14,15,93.33%
na,1,1,15,6.67%
nc,1,3,12,25.00%
nc,2,1,12,8.33%
nc,3,1,12,8.33%
nc,4,1,12,8.33%
nc,0,6,12,50.00%
ng,1,3,46,6.52%
ng,2,3,46,6.52%
ng,4,1,46,2.17%
ng,6,4,46,8.70%
ng,0,35,46,76.09%
ni,0,97,116,83.62%
ni,1,7,116,6.03%
ni,2,1,116,0.86%
ni,5,1,116,0.86%
ni,6,1,116,0.86%
ni,7,3,116,2.59%
ni,8,1,116,0.86%
ni,10,1,116,0.86%
ni,11,1,116,0.86%
ni,12,1,116,0.86%
ni,18,1,116,0.86%
nl,0,427,513,83.24%
nl,1,29,513,5.65%
nl,2,14,513,2.73%
nl,3,6,513,1.17%
nl,4,7,513,1.36%
nl,5,8,513,1.56%
nl,6,1,513,0.19%
nl,7,3,513,0.58%
nl,8,3,513,0.58%
nl,9,2,513,0.39%
nl,10,4,513,0.78%
nl,12,3,513,0.58%
nl,13,1,513,0.19%
nl,14,1,513,0.19%
nl,17,2,513,0.39%
nl,28,1,513,0.19%
nl,39,1,513,0.19%
no,0,92,113,81.42%
no,1,6,113,5.31%
no,2,4,113,3.54%
no,3,3,113,2.65%
no,4,1,113,0.88%
no,6,1,113,0.88%
no,7,2,113,1.77%
no,8,1,113,0.88%
no,11,1,113,0.88%
no,15,1,113,0.88%
no,16,1,113,0.88%
np,0,196,230,85.22%
np,1,14,230,6.09%
np,2,4,230,1.74%
np,3,1,230,0.43%
np,4,3,230,1.30%
np,9,3,230,1.30%
np,13,1,230,0.43%
np,15,2,230,0.87%
np,23,1,230,0.43%
np,24,1,230,0.43%
np,38,1,230,0.43%
np,39,1,230,0.43%
np,43,1,230,0.43%
np,44,1,230,0.43%
nz,0,99,123,80.49%
nz,1,6,123,4.88%
nz,2,6,123,4.88%
nz,3,4,123,3.25%
nz,4,2,123,1.63%
nz,5,1,123,0.81%
nz,6,2,123,1.63%
nz,9,1,123,0.81%
nz,11,1,123,0.81%
nz,13,1,123,0.81%
om,1,7,66,10.61%
om,2,3,66,4.55%
om,3,2,66,3.03%
om,5,1,66,1.52%
om,6,1,66,1.52%
om,7,1,66,1.52%
om,8,1,66,1.52%
om,10,1,66,1.52%
om,11,1,66,1.52%
om,13,1,66,1.52%
om,24,1,66,1.52%
om,36,1,66,1.52%
om,46,1,66,1.52%
om,0,44,66,66.67%
pa,0,248,314,78.98%
pa,1,18,314,5.73%
pa,2,11,314,3.50%
pa,3,6,314,1.91%
pa,4,5,314,1.59%
pa,5,2,314,0.64%
pa,6,1,314,0.32%
pa,7,1,314,0.32%
pa,8,4,314,1.27%
pa,9,2,314,0.64%
pa,10,1,314,0.32%
pa,11,1,314,0.32%
pa,13,3,314,0.96%
pa,17,2,314,0.64%
pa,19,1,314,0.32%
pa,20,1,314,0.32%
pa,23,1,314,0.32%
pa,25,1,314,0.32%
pa,34,1,314,0.32%
pa,36,1,314,0.32%
pa,43,1,314,0.32%
pa,44,1,314,0.32%
pa,45,1,314,0.32%
pe,0,959,1214,79.00%
pe,1,86,1214,7.08%
pe,2,30,1214,2.47%
pe,3,17,1214,1.40%
pe,4,13,1214,1.07%
pe,5,12,1214,0.99%
pe,6,6,1214,0.49%
pe,7,7,1214,0.58%
pe,8,4,1214,0.33%
pe,9,3,1214,0.25%
pe,10,6,1214,0.49%
pe,11,4,1214,0.33%
pe,12,4,1214,0.33%
pe,13,1,1214,0.08%
pe,14,4,1214,0.33%
pe,15,4,1214,0.33%
pe,16,3,1214,0.25%
pe,17,5,1214,0.41%
pe,18,3,1214,0.25%
pe,19,3,1214,0.25%
pe,20,5,1214,0.41%
pe,21,5,1214,0.41%
pe,22,2,1214,0.16%
pe,23,1,1214,0.08%
pe,24,3,1214,0.25%
pe,25,1,1214,0.08%
pe,26,2,1214,0.16%
pe,27,1,1214,0.08%
pe,28,3,1214,0.25%
pe,30,1,1214,0.08%
pe,31,3,1214,0.25%
pe,34,1,1214,0.08%
pe,38,2,1214,0.16%
pe,42,2,1214,0.16%
pe,45,3,1214,0.25%
pe,47,1,1214,0.08%
pf,1,3,18,16.67%
pf,2,2,18,11.11%
pf,0,13,18,72.22%
pg,0,5,5,100.00%
ph,0,2039,2461,82.85%
ph,1,165,2461,6.70%
ph,2,60,2461,2.44%
ph,3,41,2461,1.67%
ph,4,32,2461,1.30%
ph,5,23,2461,0.93%
ph,6,15,2461,0.61%
ph,7,11,2461,0.45%
ph,8,6,2461,0.24%
ph,9,9,2461,0.37%
ph,10,6,2461,0.24%
ph,11,6,2461,0.24%
ph,12,5,2461,0.20%
ph,13,2,2461,0.08%
ph,14,1,2461,0.04%
ph,15,2,2461,0.08%
ph,16,2,2461,0.08%
ph,17,1,2461,0.04%
ph,18,2,2461,0.08%
ph,19,3,2461,0.12%
ph,20,4,2461,0.16%
ph,21,1,2461,0.04%
ph,22,3,2461,0.12%
ph,24,3,2461,0.12%
ph,25,1,2461,0.04%
ph,26,2,2461,0.08%
ph,27,2,2461,0.08%
ph,29,3,2461,0.12%
ph,31,2,2461,0.08%
ph,32,1,2461,0.04%
ph,33,2,2461,0.08%
ph,35,1,2461,0.04%
ph,36,1,2461,0.04%
ph,39,1,2461,0.04%
pk,0,300,381,78.74%
pk,1,30,381,7.87%
pk,2,17,381,4.46%
pk,3,8,381,2.10%
pk,4,4,381,1.05%
pk,5,3,381,0.79%
pk,6,1,381,0.26%
pk,7,2,381,0.52%
pk,8,2,381,0.52%
pk,9,2,381,0.52%
pk,10,1,381,0.26%
pk,11,3,381,0.79%
pk,12,3,381,0.79%
pk,13,2,381,0.52%
pk,14,1,381,0.26%
pk,18,1,381,0.26%
pk,26,1,381,0.26%
pl,0,1030,1208,85.26%
pl,1,62,1208,5.13%
pl,2,32,1208,2.65%
pl,3,9,1208,0.75%
pl,4,14,1208,1.16%
pl,5,4,1208,0.33%
pl,6,6,1208,0.50%
pl,7,5,1208,0.41%
pl,8,7,1208,0.58%
pl,9,4,1208,0.33%
pl,10,5,1208,0.41%
pl,11,2,1208,0.17%
pl,12,3,1208,0.25%
pl,14,1,1208,0.08%
pl,16,3,1208,0.25%
pl,17,1,1208,0.08%
pl,20,1,1208,0.08%
pl,22,2,1208,0.17%
pl,25,1,1208,0.08%
pl,28,2,1208,0.17%
pl,29,1,1208,0.08%
pl,34,2,1208,0.17%
pl,35,1,1208,0.08%
pl,38,1,1208,0.08%
pl,40,1,1208,0.08%
pl,44,1,1208,0.08%
pl,47,1,1208,0.08%
pm,0,1,1,100.00%
pr,0,151,186,81.18%
pr,1,13,186,6.99%
pr,2,6,186,3.23%
pr,3,1,186,0.54%
pr,4,4,186,2.15%
pr,5,1,186,0.54%
pr,7,1,186,0.54%
pr,8,1,186,0.54%
pr,9,1,186,0.54%
pr,10,2,186,1.08%
pr,11,2,186,1.08%
pr,16,1,186,0.54%
pr,20,1,186,0.54%
pr,27,1,186,0.54%
ps,0,66,81,81.48%
ps,1,8,81,9.88%
ps,2,2,81,2.47%
ps,3,2,81,2.47%
ps,4,2,81,2.47%
ps,17,1,81,1.23%
pt,0,597,706,84.56%
pt,1,39,706,5.52%
pt,2,22,706,3.12%
pt,3,12,706,1.70%
pt,4,6,706,0.85%
pt,5,2,706,0.28%
pt,6,6,706,0.85%
pt,7,3,706,0.42%
pt,8,3,706,0.42%
pt,9,2,706,0.28%
pt,10,2,706,0.28%
pt,11,1,706,0.14%
pt,13,1,706,0.14%
pt,19,1,706,0.14%
pt,22,1,706,0.14%
pt,23,1,706,0.14%
pt,26,1,706,0.14%
pt,32,2,706,0.28%
pt,33,1,706,0.14%
pt,36,1,706,0.14%
pt,41,1,706,0.14%
pw,0,1,1,100.00%
py,0,124,148,83.78%
py,1,8,148,5.41%
py,2,4,148,2.70%
py,3,1,148,0.68%
py,4,2,148,1.35%
py,5,1,148,0.68%
py,6,3,148,2.03%
py,8,3,148,2.03%
py,9,1,148,0.68%
py,43,1,148,0.68%
qa,0,157,195,80.51%
qa,1,13,195,6.67%
qa,2,8,195,4.10%
qa,3,3,195,1.54%
qa,4,2,195,1.03%
qa,6,1,195,0.51%
qa,7,2,195,1.03%
qa,8,2,195,1.03%
qa,10,1,195,0.51%
qa,12,1,195,0.51%
qa,13,2,195,1.03%
qa,18,1,195,0.51%
qa,37,1,195,0.51%
re,1,2,30,6.67%
re,2,2,30,6.67%
re,4,1,30,3.33%
re,6,1,30,3.33%
re,8,1,30,3.33%
re,15,1,30,3.33%
re,16,1,30,3.33%
re,35,1,30,3.33%
re,0,20,30,66.67%
ro,0,1000,1164,85.91%
ro,1,69,1164,5.93%
ro,2,19,1164,1.63%
ro,3,11,1164,0.95%
ro,4,12,1164,1.03%
ro,5,5,1164,0.43%
ro,6,4,1164,0.34%
ro,7,4,1164,0.34%
ro,8,6,1164,0.52%
ro,9,1,1164,0.09%
ro,10,3,1164,0.26%
ro,11,2,1164,0.17%
ro,12,1,1164,0.09%
ro,14,2,1164,0.17%
ro,15,1,1164,0.09%
ro,16,2,1164,0.17%
ro,17,3,1164,0.26%
ro,18,1,1164,0.09%
ro,19,1,1164,0.09%
ro,21,1,1164,0.09%
ro,22,1,1164,0.09%
ro,24,1,1164,0.09%
ro,25,1,1164,0.09%
ro,26,3,1164,0.26%
ro,28,1,1164,0.09%
ro,29,1,1164,0.09%
ro,32,1,1164,0.09%
ro,34,1,1164,0.09%
ro,38,1,1164,0.09%
ro,40,1,1164,0.09%
ro,45,1,1164,0.09%
rs,0,327,376,86.97%
rs,1,18,376,4.79%
rs,2,5,376,1.33%
rs,3,3,376,0.80%
rs,4,4,376,1.06%
rs,6,3,376,0.80%
rs,7,1,376,0.27%
rs,8,2,376,0.53%
rs,10,1,376,0.27%
rs,12,3,376,0.80%
rs,16,1,376,0.27%
rs,18,2,376,0.53%
rs,21,1,376,0.27%
rs,22,1,376,0.27%
rs,24,1,376,0.27%
rs,25,1,376,0.27%
rs,26,2,376,0.53%
ru,0,1251,1606,77.90%
ru,1,114,1606,7.10%
ru,2,56,1606,3.49%
ru,3,20,1606,1.25%
ru,4,30,1606,1.87%
ru,5,12,1606,0.75%
ru,6,10,1606,0.62%
ru,7,7,1606,0.44%
ru,8,9,1606,0.56%
ru,9,9,1606,0.56%
ru,10,7,1606,0.44%
ru,11,4,1606,0.25%
ru,12,4,1606,0.25%
ru,13,3,1606,0.19%
ru,14,5,1606,0.31%
ru,15,4,1606,0.25%
ru,16,4,1606,0.25%
ru,17,1,1606,0.06%
ru,18,2,1606,0.12%
ru,19,4,1606,0.25%
ru,20,5,1606,0.31%
ru,21,1,1606,0.06%
ru,22,2,1606,0.12%
ru,23,2,1606,0.12%
ru,24,3,1606,0.19%
ru,26,3,1606,0.19%
ru,28,3,1606,0.19%
ru,29,3,1606,0.19%
ru,30,1,1606,0.06%
ru,31,2,1606,0.12%
ru,32,2,1606,0.12%
ru,34,2,1606,0.12%
ru,35,1,1606,0.06%
ru,36,2,1606,0.12%
ru,38,2,1606,0.12%
ru,40,1,1606,0.06%
ru,43,1,1606,0.06%
ru,45,1,1606,0.06%
ru,46,2,1606,0.12%
rw,2,1,2,50.00%
rw,0,1,2,50.00%
sa,0,597,712,83.85%
sa,1,41,712,5.76%
sa,2,15,712,2.11%
sa,3,13,712,1.83%
sa,4,5,712,0.70%
